SubscriptionName,SubscriptionId,ResourceGroup,AppName,SlotName,Kind,Location,State,Platform,ConfiguredRuntime,NodeMajorVersion,DetectionSource,ResourceId,DefaultHostName,Tags,ObservedAtUtc,Notes
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-audit-log-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-audit-log-dev-ncus,app-audit-log-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-hand-hygiene-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-hand-hygiene-dev-ncus,app-hand-hygiene-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-HHS-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-HHS-dev-ncus,app-hhs-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-labor-pool-dev-ncus,production,"app,linux",northcentralus,Stopped,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-labor-pool-dev-ncus,app-labor-pool-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-legacy-docs-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-legacy-docs-dev-ncus,app-legacy-docs-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-medicaid-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-medicaid-dev-ncus,app-medicaid-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-notification-service-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-notification-service-dev-ncus,app-notification-service-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-ora-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-ora-dev-ncus,app-ora-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-PMM-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-PMM-dev-ncus,app-pmm-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-dev-app-oeqrq2jxadm36,eedbfd35-f6c7-4ac2-9730-4d0c4be52821,rg-spoke-appdev-dev-g3kmeu7yyl24w,app-portal-dev-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/eedbfd35-f6c7-4ac2-9730-4d0c4be52821/resourceGroups/rg-spoke-appdev-dev-g3kmeu7yyl24w/providers/Microsoft.Web/sites/app-portal-dev-ncus,app-portal-dev-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-prd-app-oeqrq2jxadm36,ff34313b-8a89-4e86-bfcb-331b03ff6205,rg-spoke-appdev-prd-4fhxtyumb5wlq,app-audit-log-prod-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/ff34313b-8a89-4e86-bfcb-331b03ff6205/resourceGroups/rg-spoke-appdev-prd-4fhxtyumb5wlq/providers/Microsoft.Web/sites/app-audit-log-prod-ncus,app-audit-log-prod-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
dt-prd-app-oeqrq2jxadm36,ff34313b-8a89-4e86-bfcb-331b03ff6205,rg-spoke-appdev-prd-4fhxtyumb5wlq,app-hand-hygiene-prod-ncus,production,"app,linux",northcentralus,Running,Linux,NODE|22-lts,22,Both,/subscriptions/ff34313b-8a89-4e86-bfcb-331b03ff6205/resourceGroups/rg-spoke-appdev-prd-4fhxtyumb5wlq/providers/Microsoft.Web/sites/app-hand-hygiene-prod-ncus,app-hand-hygiene-prod-ncus.azurewebsites.net,,2026-08-20T01:07:31.4395574Z,
